机柜	节点号	端口	IP地址	备注1
G5-17	3.2	GigabitEthernet1/0/6	10.133.85.195	第5批已交付2021/6/28
G5-17	4.1	GigabitEthernet1/0/7	10.133.85.196	第5批已交付2021/6/28
G5-17	4.2	GigabitEthernet1/0/8	10.133.85.197	第5批已交付2021/6/28
G5-17	5.1	GigabitEthernet1/0/9	10.133.85.198	第5批已交付2021/6/28
G5-17	5.2	GigabitEthernet1/0/10	10.133.85.199	第5批已交付2021/6/28
G5-17	6.1	GigabitEthernet1/0/11	10.133.85.200	第5批已交付2021/6/28
G5-17	6.2	GigabitEthernet1/0/12	10.133.85.201	第5批已交付2021/6/28
G5-17	7.1	GigabitEthernet1/0/13	10.133.85.202	第5批已交付2021/6/28
G5-17	7.2	GigabitEthernet1/0/14	10.133.85.203	第5批已交付2021/6/28
G5-17	8.1	GigabitEthernet1/0/15	10.133.85.204	第5批已交付2021/6/28
G5-17	8.2	GigabitEthernet1/0/16	10.133.85.205	第5批已交付2021/6/28
G5-17	9.1	GigabitEthernet1/0/17	10.133.85.206	第5批已交付2021/6/28
G5-17	9.2	GigabitEthernet1/0/18	10.133.85.207	第5批已交付2021/6/28
G5-17	10.1	GigabitEthernet1/0/19	10.133.85.208	第5批已交付2021/6/28
G5-17	10.2	GigabitEthernet1/0/20	10.133.85.209	第5批已交付2021/6/28
G5-17	11.1	GigabitEthernet1/0/21	10.133.85.210	第5批已交付2021/6/28
G5-17	11.2	GigabitEthernet1/0/22	10.133.85.211	第5批已交付2021/6/28
G5-17	12.1	GigabitEthernet1/0/23	10.133.85.212	第5批已交付2021/6/28
G5-17	12.2	GigabitEthernet1/0/24	10.133.85.213	第5批已交付2021/6/28
G5-17	13.1	GigabitEthernet1/0/25	10.133.85.214	第5批已交付2021/6/28
G5-17	13.2	GigabitEthernet1/0/26	10.133.85.215	第5批已交付2021/6/28
G5-17	14.1	GigabitEthernet1/0/27	10.133.85.216	第5批已交付2021/6/28
G5-17	14.2	GigabitEthernet1/0/28	10.133.85.217	第5批已交付2021/6/28
G5-17	15.1	GigabitEthernet1/0/29	10.133.85.218	第5批已交付2021/6/28
G5-17	15.2	GigabitEthernet1/0/30	10.133.85.219	第5批已交付2021/6/28
G5-17	16.1	GigabitEthernet1/0/31	10.133.85.220	第5批已交付2021/6/28
G5-17	16.2	GigabitEthernet1/0/32	10.133.85.221	第5批已交付2021/6/28
G5-17	17.1	GigabitEthernet1/0/33	10.133.85.222	第5批已交付2021/6/28
G5-17	17.2	GigabitEthernet1/0/34	10.133.85.223	第5批已交付2021/6/28
G5-17	18.1	GigabitEthernet1/0/35	10.133.85.224	第5批已交付2021/6/28
G5-17	18.2	GigabitEthernet1/0/36	10.133.85.225	第5批已交付2021/6/28
G5-17	19.1	GigabitEthernet1/0/37	10.133.85.226	第5批已交付2021/6/28
G5-17	19.2	GigabitEthernet1/0/38	10.133.85.227	第5批已交付2021/6/28
G5-17	20.1	GigabitEthernet1/0/39	10.133.85.228	第5批已交付2021/6/28
G5-17	20.2	GigabitEthernet1/0/40	10.133.85.229	第5批已交付2021/6/28
H5-3	7.1	GigabitEthernet1/0/13	10.133.85.230	第5批已交付2021/6/28
H5-3	7.2	GigabitEthernet1/0/14	10.133.85.231	第5批已交付2021/6/28
H5-3	8.1	GigabitEthernet1/0/15	10.133.85.232	第5批已交付2021/6/28
H5-3	8.2	GigabitEthernet1/0/16	10.133.85.233	第5批已交付2021/6/28
3楼H3-05(i9)	1.1	GigabitEthernet1/0/1	10.133.85.234	第六批7.7已交付
3楼H3-05(i9)	1.2	GigabitEthernet1/0/2	10.133.85.235	第六批7.7已交付
3楼H3-05(i9)	1.3	GigabitEthernet1/0/3	10.133.85.236	第六批7.7已交付
3楼H3-05(i9)	1.4	GigabitEthernet1/0/4	10.133.85.237	第六批7.7已交付
3楼H3-05(i9)	1.5	GigabitEthernet1/0/5	10.133.85.238	第六批7.7已交付
3楼H3-05(i9)	2.1	GigabitEthernet1/0/6	10.133.85.239	第六批7.7已交付
3楼H3-05(i9)	2.2	GigabitEthernet1/0/7	10.133.85.240	第六批7.7已交付
3楼H3-05(i9)	2.3	GigabitEthernet1/0/8	10.133.85.241	第六批7.7已交付
3楼H3-05(i9)	2.4	GigabitEthernet1/0/9	10.133.85.242	第六批7.7已交付
3楼H3-05(i9)	2.5	GigabitEthernet1/0/10	10.133.85.243	第六批7.7已交付
3楼H3-05(i9)	3.1	GigabitEthernet1/0/11	10.133.85.244	第六批7.7已交付
3楼H3-05(i9)	3.2	GigabitEthernet1/0/12	10.133.85.245	第六批7.7已交付
3楼H3-05(i9)	3.3	GigabitEthernet1/0/13	10.133.85.246	第六批7.7已交付
3楼H3-05(i9)	3.4	GigabitEthernet1/0/14	10.133.85.247	第六批7.7已交付
3楼H3-05(i9)	3.5	GigabitEthernet1/0/15	10.133.85.248	第六批7.7已交付
3楼H3-05(i9)	4.1	GigabitEthernet1/0/16	10.133.85.249	第六批7.7已交付
3楼H3-05(i9)	4.2	GigabitEthernet1/0/17	10.133.85.250	第六批7.7已交付
3楼H3-05(i9)	4.3	GigabitEthernet1/0/18	10.133.85.251	第六批7.7已交付
3楼H3-05(i9)	4.4	GigabitEthernet1/0/19	10.133.85.252	第六批7.7已交付
3楼H3-05(i9)	4.5	GigabitEthernet1/0/20	10.133.85.253	第六批7.7已交付
3楼H3-05(i9)	5.1	GigabitEthernet1/0/21	10.133.85.254	第六批7.7已交付
3楼H3-05(i9)	5.2	GigabitEthernet1/0/22	10.133.85.255	第六批7.7已交付
3楼H3-05(i9)	5.3	GigabitEthernet1/0/23	10.133.86.1	第六批7.7已交付
3楼H3-05(i9)	5.4	GigabitEthernet1/0/24	10.133.86.2	第六批7.7已交付
3楼H3-05(i9)	5.5	GigabitEthernet1/0/25	10.133.86.3	第六批7.7已交付
3楼H3-05(i9)	6.1	GigabitEthernet1/0/26	10.133.86.4	第六批7.7已交付
3楼H3-05(i9)	6.2	GigabitEthernet1/0/27	10.133.86.5	第六批7.7已交付
3楼H3-05(i9)	6.3	GigabitEthernet1/0/28	10.133.86.6	第六批7.7已交付
3楼H3-05(i9)	6.4	GigabitEthernet1/0/29	10.133.86.7	第六批7.7已交付
3楼H3-05(i9)	6.5	GigabitEthernet1/0/30	10.133.86.8	第六批7.7已交付
4楼F5-02(i9)	1.1	GigabitEthernet1/0/1	10.133.86.9	第六批7.7已交付
4楼F5-02(i9)	1.2	GigabitEthernet1/0/2	10.133.86.10	第六批7.7已交付
4楼F5-02(i9)	1.3	GigabitEthernet1/0/3	10.133.86.11	第六批7.7已交付
4楼F5-02(i9)	1.4	GigabitEthernet1/0/4	10.133.86.12	第六批7.7已交付
4楼F5-02(i9)	1.5	GigabitEthernet1/0/5	10.133.86.13	第六批7.7已交付
4楼F5-02(i9)	2.1	GigabitEthernet1/0/6	10.133.86.14	第六批7.7已交付
4楼F5-02(i9)	2.2	GigabitEthernet1/0/7	10.133.86.15	第六批7.7已交付
4楼F5-02(i9)	2.3	GigabitEthernet1/0/8	10.133.86.16	第六批7.7已交付
4楼F5-02(i9)	2.4	GigabitEthernet1/0/9	10.133.86.17	第六批7.7已交付
4楼F5-02(i9)	2.5	GigabitEthernet1/0/10	10.133.86.18	第六批7.7已交付
4楼F5-02(i9)	3.1	GigabitEthernet1/0/11	10.133.86.19	第六批7.7已交付
4楼F5-02(i9)	3.2	GigabitEthernet1/0/12	10.133.86.20	第六批7.7已交付
4楼F5-02(i9)	3.3	GigabitEthernet1/0/13	10.133.86.21	第六批7.7已交付
4楼F5-02(i9)	3.4	GigabitEthernet1/0/14	10.133.86.22	第六批7.7已交付
4楼F5-02(i9)	3.5	GigabitEthernet1/0/15	10.133.86.23	第六批7.7已交付
4楼F5-02(i9)	4.1	GigabitEthernet1/0/16	10.133.86.24	第六批7.7已交付
4楼F5-02(i9)	4.2	GigabitEthernet1/0/17	10.133.86.25	第六批7.7已交付
4楼F5-02(i9)	4.3	GigabitEthernet1/0/18	10.133.86.26	第六批7.7已交付
4楼F5-02(i9)	4.4	GigabitEthernet1/0/19	10.133.86.27	第六批7.7已交付
4楼F5-02(i9)	4.5	GigabitEthernet1/0/20	10.133.86.28	第六批7.7已交付
4楼F5-02(i9)	5.1	GigabitEthernet1/0/21	10.133.86.29	第六批7.7已交付
4楼F5-02(i9)	5.2	GigabitEthernet1/0/22	10.133.86.30	第六批7.7已交付
4楼F5-02(i9)	5.3	GigabitEthernet1/0/23	10.133.86.31	第六批7.7已交付
4楼F5-02(i9)	5.4	GigabitEthernet1/0/24	10.133.86.32	第六批7.7已交付
4楼F5-02(i9)	5.5	GigabitEthernet1/0/25	10.133.86.33	第六批7.7已交付
4楼F5-04(i9)	1.1	GigabitEthernet1/0/1	10.133.86.34	第六批7.7已交付
4楼F5-04(i9)	1.2	GigabitEthernet1/0/2	10.133.86.35	第六批7.7已交付
4楼F5-04(i9)	1.3	GigabitEthernet1/0/3	10.133.86.36	第六批7.7已交付
4楼F5-04(i9)	1.4	GigabitEthernet1/0/4	10.133.86.37	第六批7.7已交付
4楼F5-04(i9)	1.5	GigabitEthernet1/0/5	10.133.86.38	第六批7.7已交付
4楼F5-04(i9)	2.1	GigabitEthernet1/0/6	10.133.86.39	第六批7.7已交付
4楼F5-04(i9)	2.2	GigabitEthernet1/0/7	10.133.86.40	第六批7.7已交付
4楼F5-04(i9)	2.3	GigabitEthernet1/0/8	10.133.86.41	第六批7.7已交付
4楼F5-04(i9)	2.4	GigabitEthernet1/0/9	10.133.86.42	第六批7.7已交付
4楼F5-04(i9)	2.5	GigabitEthernet1/0/10	10.133.86.43	第六批7.7已交付
4楼F5-04(i9)	3.1	GigabitEthernet1/0/11	10.133.86.44	第六批7.7已交付
4楼F5-04(i9)	3.2	GigabitEthernet1/0/12	10.133.86.45	第六批7.7已交付
4楼F5-04(i9)	3.3	GigabitEthernet1/0/13	10.133.86.46	第六批7.7已交付
4楼F5-04(i9)	3.4	GigabitEthernet1/0/14	10.133.86.47	第六批7.7已交付
4楼F5-04(i9)	3.5	GigabitEthernet1/0/15	10.133.86.48	第六批7.7已交付
4楼F5-04(i9)	4.1	GigabitEthernet1/0/16	10.133.86.49	第六批7.7已交付
4楼F5-04(i9)	4.2	GigabitEthernet1/0/17	10.133.86.50	第六批7.7已交付
4楼F5-04(i9)	4.3	GigabitEthernet1/0/18	10.133.86.51	第六批7.7已交付
4楼F5-04(i9)	4.4	GigabitEthernet1/0/19	10.133.86.52	第六批7.7已交付
4楼F5-04(i9)	4.5	GigabitEthernet1/0/20	10.133.86.53	第六批7.7已交付
4楼F5-04(i9)	5.1	GigabitEthernet1/0/21	10.133.86.54	第六批7.7已交付
4楼F5-04(i9)	5.2	GigabitEthernet1/0/22	10.133.86.55	第六批7.7已交付
4楼F5-04(i9)	5.3	GigabitEthernet1/0/23	10.133.86.56	第六批7.7已交付
4楼F5-04(i9)	5.4	GigabitEthernet1/0/24	10.133.86.57	第六批7.7已交付
4楼F5-04(i9)	5.5	GigabitEthernet1/0/25	10.133.86.58	第六批7.7已交付
4楼H5-15(i9)	6.1	GigabitEthernet1/0/11	10.133.86.59	第六批7.7已交付
4楼H5-15(i9)	6.2	GigabitEthernet1/0/12	10.133.86.60	第六批7.7已交付
4楼H5-15(i9)	6.3	GigabitEthernet1/0/13	10.133.86.61	第六批7.7已交付
4楼H5-15(i9)	6.4	GigabitEthernet1/0/14	10.133.86.62	第六批7.7已交付
4楼H5-15(i9)	6.5	GigabitEthernet1/0/15	10.133.86.63	第六批7.7已交付
4楼H5-15(i9)	7.1	GigabitEthernet1/0/16	10.133.86.64	第六批7.7已交付
4楼H5-15(i9)	7.2	GigabitEthernet1/0/17	10.133.86.65	第六批7.7已交付
4楼H5-15(i9)	7.3	GigabitEthernet1/0/18	10.133.86.66	第六批7.7已交付
4楼H5-15(i9)	7.4	GigabitEthernet1/0/19	10.133.86.67	第六批7.7已交付
4楼H5-15(i9)	7.5	GigabitEthernet1/0/20	10.133.86.68	第六批7.7已交付
4楼H5-15(i9)	8.1	GigabitEthernet1/0/21	10.133.86.69	第六批7.7已交付
4楼H5-15(i9)	8.2	GigabitEthernet1/0/22	10.133.86.70	第六批7.7已交付
4楼H5-15(i9)	8.3	GigabitEthernet1/0/23	10.133.86.71	第六批7.7已交付
4楼H5-15(i9)	8.4	GigabitEthernet1/0/24	10.133.86.72	第六批7.7已交付
4楼H5-15(i9)	8.5	GigabitEthernet1/0/25	10.133.86.73	第六批7.7已交付
4楼H5-15(i9)	9.1	GigabitEthernet1/0/26	10.133.86.74	第六批7.7已交付
4楼H5-15(i9)7-22重装过观察下	9.2	GigabitEthernet1/0/27	10.133.86.75	第六批7.7已交付
4楼H5-15(i9)	9.3	GigabitEthernet1/0/28	10.133.86.76	第六批7.7已交付
4楼H5-15(i9)	9.4	GigabitEthernet1/0/29	10.133.86.77	第六批7.7已交付
4楼H5-15(i9)	9.5	GigabitEthernet1/0/30	10.133.86.78	第六批7.7已交付
4楼K5-02	1.1	GigabitEthernet1/0/1	10.133.86.79	第七批8-5已交付
4楼K5-02	1.2	GigabitEthernet1/0/2	10.133.86.80	第七批8-5已交付
4楼K5-02	2.1	GigabitEthernet1/0/3	10.133.86.81	第七批8-5已交付
4楼K5-02	2.2	GigabitEthernet1/0/4	10.133.86.82	第七批8-5已交付
4楼K5-02	3.1	GigabitEthernet1/0/5	10.133.86.83	第七批8-5已交付
4楼K5-02	3.2	GigabitEthernet1/0/6	10.133.86.84	第七批8-5已交付
4楼K5-02	4.1	GigabitEthernet1/0/7	10.133.86.85	第七批8-5已交付
4楼K5-02	4.2	GigabitEthernet1/0/8	10.133.86.86	第七批8-5已交付
4楼K5-02	5.1	GigabitEthernet1/0/9	10.133.86.87	第七批8-5已交付
4楼K5-02	5.2	GigabitEthernet1/0/10	10.133.86.88	第七批8-5已交付
4楼K5-02	6.1	GigabitEthernet1/0/11	10.133.86.89	第七批8-5已交付
4楼K5-02	6.2	GigabitEthernet1/0/12	10.133.86.90	第七批8-5已交付
4楼K5-02	7.1	GigabitEthernet1/0/13	10.133.86.91	第七批8-5已交付
4楼K5-02	7.2	GigabitEthernet1/0/14	10.133.86.92	第七批8-5已交付
4楼K5-02	8.1	GigabitEthernet1/0/15	10.133.86.93	第七批8-5已交付
4楼K5-02	8.2	GigabitEthernet1/0/16	10.133.86.94	第七批8-5已交付
4楼K5-02	9.1	GigabitEthernet1/0/17	10.133.86.95	第七批8-5已交付
4楼K5-02	9.2	GigabitEthernet1/0/18	10.133.86.96	第七批8-5已交付
4楼K5-02	10.1	GigabitEthernet1/0/19	10.133.86.97	第七批8-5已交付
4楼K5-02	10.2	GigabitEthernet1/0/20	10.133.86.98	第七批8-5已交付
4楼K5-02	11.1	GigabitEthernet1/0/21	10.133.86.99	第七批8-5已交付
4楼K5-02	11.2	GigabitEthernet1/0/22	10.133.86.100	第七批8-5已交付
4楼K5-02	12.1	GigabitEthernet1/0/23	10.133.86.101	第七批8-5已交付
4楼K5-02	12.2	GigabitEthernet1/0/24	10.133.86.102	第七批8-5已交付
4楼K5-02	13.1	GigabitEthernet1/0/25	10.133.86.103	第七批8-5已交付
4楼K5-02	13.2	GigabitEthernet1/0/26	10.133.86.104	第七批8-5已交付
4楼K5-02	14.1	GigabitEthernet1/0/27	10.133.86.105	第七批8-5已交付
4楼K5-02	14.2	GigabitEthernet1/0/28	10.133.86.106	第七批8-5已交付
4楼K5-02	15.1	GigabitEthernet1/0/29	10.133.86.107	第七批8-5已交付
4楼K5-02	15.2	GigabitEthernet1/0/30	10.133.86.108	第七批8-5已交付
4楼K5-02	16.1	GigabitEthernet1/0/31	10.133.86.109	第七批8-5已交付
4楼K5-02	16.2	GigabitEthernet1/0/32	10.133.86.110	第七批8-5已交付
4楼K5-02	17.1	GigabitEthernet1/0/33	10.133.86.111	第七批8-5已交付
4楼K5-02	17.2	GigabitEthernet1/0/34	10.133.86.112	第七批8-5已交付
4楼K5-02	18.1	GigabitEthernet1/0/35	10.133.86.113	第七批8-5已交付
4楼K5-02	18.2	GigabitEthernet1/0/36	10.133.86.114	第七批8-5已交付
4楼K5-02	19.1	GigabitEthernet1/0/37	10.133.86.115	第七批8-5已交付
4楼K5-02	19.2	GigabitEthernet1/0/38	10.133.86.116	第七批8-5已交付
4楼K5-02	20.1	GigabitEthernet1/0/39	10.133.86.117	第七批8-5已交付
4楼K5-02	20.2	GigabitEthernet1/0/40	10.133.86.118	第七批8-5已交付
4楼K5-03	1.1	GigabitEthernet1/0/1	10.133.86.119	第七批8-5已交付
4楼K5-03	1.2	GigabitEthernet1/0/2	10.133.86.120	第七批8-5已交付
4楼K5-03	2.1	GigabitEthernet1/0/3	10.133.86.121	第七批8-5已交付
4楼K5-03	2.2	GigabitEthernet1/0/4	10.133.86.122	第七批8-5已交付
4楼K5-03	3.1	GigabitEthernet1/0/5	10.133.86.123	第七批8-5已交付
4楼K5-03	3.2	GigabitEthernet1/0/6	10.133.86.124	第七批8-5已交付
4楼K5-03	4.1	GigabitEthernet1/0/7	10.133.86.125	第七批8-5已交付
4楼K5-03	4.2	GigabitEthernet1/0/8	10.133.86.126	第七批8-5已交付
4楼K5-03	5.1	GigabitEthernet1/0/9	10.133.86.127	第七批8-5已交付
4楼K5-03	5.2	GigabitEthernet1/0/10	10.133.86.128	第七批8-5已交付
4楼K5-03	6.1	GigabitEthernet1/0/11	10.133.86.239	第七批8-5已交付
4楼K5-03	6.2	GigabitEthernet1/0/12	10.133.86.130	第七批8-5已交付
4楼K5-03	7.1	GigabitEthernet1/0/13	10.133.86.131	第七批8-5已交付
4楼K5-03	7.2	GigabitEthernet1/0/14	10.133.86.132	第七批8-5已交付
4楼K5-03	8.1	GigabitEthernet1/0/15	10.133.86.133	第七批8-5已交付
4楼K5-03	8.2	GigabitEthernet1/0/16	10.133.86.134	第七批8-5已交付
4楼K5-03	9.1	GigabitEthernet1/0/17	10.133.86.135	第七批8-5已交付
4楼K5-03	9.2	GigabitEthernet1/0/18	10.133.86.136	第七批8-5已交付
4楼K5-03	10.1	GigabitEthernet1/0/19	10.133.86.137	第七批8-5已交付
4楼K5-03	10.2	GigabitEthernet1/0/20	10.133.86.138	第七批8-5已交付
4楼K5-03	11.1	GigabitEthernet1/0/21	10.133.86.139	第七批8-5已交付
4楼K5-03	11.2	GigabitEthernet1/0/22	10.133.86.240	第七批8-5已交付
4楼K5-03	12.1	GigabitEthernet1/0/23	10.133.86.141	第七批8-5已交付
4楼K5-03	12.2	GigabitEthernet1/0/24	10.133.86.142	第七批8-5已交付
4楼K5-03	13.1	GigabitEthernet1/0/25	10.133.86.143	第七批8-5已交付
4楼K5-03	13.2	GigabitEthernet1/0/26	10.133.86.144	第七批8-5已交付
4楼K5-03	14.1	GigabitEthernet1/0/27	10.133.86.145	第七批8-5已交付
4楼K5-03	14.2	GigabitEthernet1/0/28	10.133.86.146	第七批8-5已交付
4楼K5-03	15.1	GigabitEthernet1/0/29	10.133.86.147	第七批8-5已交付
4楼K5-03	15.2	GigabitEthernet1/0/30	10.133.86.148	第七批8-5已交付
4楼K5-03	16.1	GigabitEthernet1/0/31	10.133.86.149	第七批8-5已交付
4楼K5-03	16.2	GigabitEthernet1/0/32	10.133.86.150	第七批8-5已交付
4楼K5-03	17.1	GigabitEthernet1/0/33	10.133.86.151	第七批8-5已交付
4楼K5-03	17.2	GigabitEthernet1/0/34	10.133.86.152	第七批8-5已交付
4楼K5-03	18.1	GigabitEthernet1/0/35	10.133.86.153	第七批8-5已交付
4楼K5-03	18.2	GigabitEthernet1/0/36	10.133.86.154	第七批8-5已交付
4楼K5-03	19.1	GigabitEthernet1/0/37	10.133.86.155	第七批8-5已交付
4楼K5-03	19.2	GigabitEthernet1/0/38	10.133.86.156	第七批8-5已交付
4楼K5-03	20.1	GigabitEthernet1/0/39	10.133.86.157	第七批8-5已交付
4楼K5-03	20.2	GigabitEthernet1/0/40	10.133.86.158	第七批8-5已交付
4楼K5-05	1.1	GigabitEthernet1/0/1	10.133.86.159	第七批8-5已交付
4楼K5-05	1.2	GigabitEthernet1/0/2	10.133.86.160	第七批8-5已交付
4楼K5-05	2.1	GigabitEthernet1/0/3	10.133.86.161	第七批8-5已交付
4楼K5-05	2.2	GigabitEthernet1/0/4	10.133.86.162	第七批8-5已交付
4楼K5-05	3.1	GigabitEthernet1/0/5	10.133.86.163	第七批8-5已交付
4楼K5-05	3.2	GigabitEthernet1/0/6	10.133.86.164	第七批8-5已交付
4楼K5-05	4.1	GigabitEthernet1/0/7	10.133.86.165	第七批8-5已交付
4楼K5-05	4.2	GigabitEthernet1/0/8	10.133.86.166	第七批8-5已交付
4楼K5-05	5.1	GigabitEthernet1/0/9	10.133.86.167	第七批8-5已交付
4楼K5-05	5.2	GigabitEthernet1/0/10	10.133.86.168	第七批8-5已交付
4楼K5-05	6.1	GigabitEthernet1/0/11	10.133.86.169	第七批8-5已交付
4楼K5-05	6.2	GigabitEthernet1/0/12	10.133.86.170	第七批8-5已交付
4楼K5-05	7.1	GigabitEthernet1/0/13	10.133.86.171	第七批8-5已交付
4楼K5-05	7.2	GigabitEthernet1/0/14	10.133.86.172	第七批8-5已交付
4楼K5-05	8.1	GigabitEthernet1/0/15	10.133.86.173	第七批8-5已交付
4楼K5-05	8.2	GigabitEthernet1/0/16	10.133.86.174	第七批8-5已交付
4楼K5-05	9.1	GigabitEthernet1/0/17	10.133.86.175	第七批8-5已交付
4楼K5-05	9.2	GigabitEthernet1/0/18	10.133.86.176	第七批8-5已交付
4楼K5-05	10.1	GigabitEthernet1/0/19	10.133.86.177	第七批8-5已交付
4楼K5-05	10.2	GigabitEthernet1/0/20	10.133.86.178	第七批8-5已交付
4楼K5-05	11.1	GigabitEthernet1/0/21	10.133.86.179	第七批8-5已交付
4楼K5-05	11.2	GigabitEthernet1/0/22	10.133.86.180	第七批8-5已交付
4楼K5-05	12.1	GigabitEthernet1/0/23	10.133.86.181	第七批8-5已交付
4楼K5-05	12.2	GigabitEthernet1/0/24	10.133.86.182	第七批8-5已交付
4楼K5-05	13.1	GigabitEthernet1/0/25	10.133.86.183	第七批8-5已交付
4楼K5-05	13.2	GigabitEthernet1/0/26	10.133.86.184	第七批8-5已交付
4楼K5-05	14.1	GigabitEthernet1/0/27	10.133.86.185	第七批8-5已交付
4楼K5-05	14.2	GigabitEthernet1/0/28	10.133.86.186	第七批8-5已交付
4楼K5-05	15.1	GigabitEthernet1/0/29	10.133.86.187	第七批8-5已交付
4楼K5-05	15.2	GigabitEthernet1/0/30	10.133.86.188	第七批8-5已交付
4楼K5-05	16.1	GigabitEthernet1/0/31	10.133.86.189	第七批8-5已交付
4楼K5-05	16.2	GigabitEthernet1/0/32	10.133.86.190	第七批8-5已交付
4楼K5-05	17.1	GigabitEthernet1/0/33	10.133.86.191	第七批8-5已交付
4楼K5-05	17.2	GigabitEthernet1/0/34	10.133.86.192	第七批8-5已交付
4楼K5-05	18.1	GigabitEthernet1/0/35	10.133.86.193	第七批8-5已交付
4楼K5-05	18.2	GigabitEthernet1/0/36	10.133.86.194	第七批8-5已交付
4楼K5-05	19.1	GigabitEthernet1/0/37	10.133.86.195	第七批8-5已交付
4楼K5-05	19.2	GigabitEthernet1/0/38	10.133.86.196	第七批8-5已交付
4楼K5-05	20.1	GigabitEthernet1/0/39	10.133.86.197	第七批8-5已交付
4楼K5-05	20.2	GigabitEthernet1/0/40	10.133.86.198	第七批8-5已交付
4楼K5-07	1.1	GigabitEthernet1/0/1	10.133.86.199	第七批8-5已交付
4楼K5-07	1.2	GigabitEthernet1/0/2	10.133.86.200	第七批8-5已交付
4楼K5-07	2.1	GigabitEthernet1/0/3	10.133.86.201	第七批8-5已交付
4楼K5-07	2.2	GigabitEthernet1/0/4	10.133.86.202	第七批8-5已交付
4楼K5-07	3.1	GigabitEthernet1/0/5	10.133.86.203	第七批8-5已交付
4楼K5-07	3.2	GigabitEthernet1/0/6	10.133.86.204	第七批8-5已交付
4楼K5-07	4.1	GigabitEthernet1/0/7	10.133.86.205	第七批8-5已交付
4楼K5-07	4.2	GigabitEthernet1/0/8	10.133.86.206	第七批8-5已交付
4楼K5-07	5.1	GigabitEthernet1/0/9	10.133.86.207	第七批8-5已交付
4楼K5-07	5.2	GigabitEthernet1/0/10	10.133.86.208	第七批8-5已交付
4楼K5-07	6.1	GigabitEthernet1/0/11	10.133.86.209	第七批8-5已交付
4楼K5-07	6.2	GigabitEthernet1/0/12	10.133.86.210	第七批8-5已交付
4楼K5-07	7.1	GigabitEthernet1/0/13	10.133.86.211	第七批8-5已交付
4楼K5-07	7.2	GigabitEthernet1/0/14	10.133.86.212	第七批8-5已交付
4楼K5-07	8.1	GigabitEthernet1/0/15	10.133.86.213	第七批8-5已交付
4楼K5-07	8.2	GigabitEthernet1/0/16	10.133.86.214	第七批8-5已交付
4楼K5-07	9.1	GigabitEthernet1/0/17	10.133.86.215	第七批8-5已交付
4楼K5-07	9.2	GigabitEthernet1/0/18	10.133.86.216	第七批8-5已交付
4楼K5-07	10.1	GigabitEthernet1/0/19	10.133.86.217	第七批8-5已交付
4楼K5-07	10.2	GigabitEthernet1/0/20	10.133.86.241	第七批8-5已交付
4楼K5-07	11.1	GigabitEthernet1/0/21	10.133.86.219	第七批8-5已交付
4楼K5-07	11.2	GigabitEthernet1/0/22	10.133.86.220	第七批8-5已交付
4楼K5-07	12.1	GigabitEthernet1/0/23	10.133.86.221	第七批8-5已交付
4楼K5-07	12.2	GigabitEthernet1/0/24	10.133.86.222	第七批8-5已交付
4楼K5-07	13.1	GigabitEthernet1/0/25	10.133.86.223	第七批8-5已交付
4楼K5-07	13.2	GigabitEthernet1/0/26	10.133.86.224	第七批8-5已交付
4楼K5-07	14.1	GigabitEthernet1/0/27	10.133.86.225	第七批8-5已交付
4楼K5-07	14.2	GigabitEthernet1/0/28	10.133.86.226	第七批8-5已交付
4楼K5-07	15.1	GigabitEthernet1/0/29	10.133.86.227	第七批8-5已交付
4楼K5-07	15.2	GigabitEthernet1/0/30	10.133.86.228	第七批8-5已交付
4楼K5-07	16.1	GigabitEthernet1/0/31	10.133.86.229	第七批8-5已交付
4楼K5-07	16.2	GigabitEthernet1/0/32	10.133.86.230	第七批8-5已交付
4楼K5-07	17.1	GigabitEthernet1/0/33	10.133.86.231	第七批8-5已交付
4楼K5-07	17.2	GigabitEthernet1/0/34	10.133.86.232	第七批8-5已交付
4楼K5-07	18.1	GigabitEthernet1/0/35	10.133.86.233	第七批8-5已交付
4楼K5-07	18.2	GigabitEthernet1/0/36	10.133.86.234	第七批8-5已交付
4楼K5-07	19.1	GigabitEthernet1/0/37	10.133.86.235	第七批8-5已交付
4楼K5-07	19.2	GigabitEthernet1/0/38	10.133.86.236	第七批8-5已交付
4楼K5-07	20.1	GigabitEthernet1/0/39	10.133.86.237	第七批8-5已交付
4楼K5-07	20.2	GigabitEthernet1/0/40	10.133.86.238	第七批8-5已交付
4-3房E06-11(I9)	1.1	G1/0/1	10.133.88.1	第8批8-10NV-Ti(万丽)
4-3房E06-11(I9)	1.2	G1/0/2	10.133.88.2	第8批8-10NV-Ti(万丽)
4-3房E06-11(I9)	1.3	G1/0/3	10.133.88.3	第8批8-10NV-Ti(万丽)
4-3房E06-11(I9)	1.4	G1/0/4	10.133.88.4	第8批8-10NV-Ti(万丽)
4-3房E06-11(I9)	1.5	G1/0/5	10.133.88.5	第8批8-10NV-Ti(万丽)
4-3房E06-11(I9)	2.1	G1/0/6	10.133.88.6	第8批8-10NV-Ti(万丽)
4-3房E06-11(I9)	2.2	G1/0/7	10.133.88.7	第8批8-10NV-Ti(万丽)
4-3房E06-11(I9)	2.3	G1/0/8	10.133.88.8	第8批8-10NV-Ti(万丽)
